# concept_id	path_pattern	role
SOUNIO-ZERO-PROVENANCE	stdlib/epistemic/zero_event.sio	canonical-type
SOUNIO-ZERO-PROVENANCE	stdlib/eisa/core_v2.sio	derived-flags
SOUNIO-ZERO-PROVENANCE	stdlib/eisa/evm.sio	execution-view
SOUNIO-ZERO-PROVENANCE	self-hosted/enir/*	pending-interface
SOUNIO-ZERO-PROVENANCE	tests/compile-fail/zero_event_*	evidence
SOUNIO-ZERO-PROVENANCE	scripts/ci/zero_event_*	gate
SOUNIO-EPISTEMIC-NUMERIC-VALUE	self-hosted/enir/*	canonical-ir
SOUNIO-EPISTEMIC-NUMERIC-VALUE	stdlib/eisa/*	execution-profile
SOUNIO-EPISTEMIC-NUMERIC-VALUE	stdlib/epistemic/*	source-semantics
SOUNIO-NONASSOCIATIVE-ORDER	stdlib/algebra/associator_field.sio	canonical-artifact
SOUNIO-NONASSOCIATIVE-ORDER	stdlib/epistemic/uncertain_octonion.sio	uncertainty-view
SOUNIO-NONASSOCIATIVE-ORDER	stdlib/epistemic/perturbation_graph.sio	correlation-view
SOUNIO-NONASSOCIATIVE-ORDER	self-hosted/ir/ir.sio	compiler-ir
SOUNIO-NONASSOCIATIVE-ORDER	self-hosted/native/lower_ir.sio	native-lowering
SOUNIO-NONASSOCIATIVE-ORDER	formal/lean4/*	formal-evidence
SOUNIO-EXPLICIT-DISCHARGE	stdlib/epistemic/zero_event.sio	canonical-example
SOUNIO-EXPLICIT-DISCHARGE	self-hosted/check/*	type-boundary
SOUNIO-EXPLICIT-DISCHARGE	tests/compile-fail/zero_event_*	evidence
SOUNIO-PHYSICAL-OBSERVATION	stdlib/physics/*	domain-source
SOUNIO-PHYSICAL-OBSERVATION	stdlib/particle_physics/*	event-pipeline
SOUNIO-PHYSICAL-OBSERVATION	stdlib/quantum/*	measurement-boundary
SOUNIO-PHYSICAL-OBSERVATION	stdlib/metrology/*	instrument-semantics
SOUNIO-PRECISION-PRESERVATION	stdlib/math/qd128.sio	canonical-qd128
SOUNIO-PRECISION-PRESERVATION	stdlib/math/dd64.sio	canonical-dd64
SOUNIO-PRECISION-PRESERVATION	self-hosted/enir/qd.sio	semantic-ir-arithmetic
SOUNIO-PRECISION-PRESERVATION	self-hosted/native/*	native-backend
SOUNIO-PRECISION-PRESERVATION	stdlib/eisa/*	execution-profile
