# concept_id	path_pattern	role
SOUNIO-ZERO-PROVENANCE	stdlib/epistemic/zero_event.sio	canonical-type
SOUNIO-ZERO-PROVENANCE	stdlib/eisa/core_v2.sio	derived-flags
SOUNIO-ZERO-PROVENANCE	stdlib/eisa/evm.sio	execution-view
SOUNIO-ZERO-PROVENANCE	self-hosted/enir/*	pending-interface
SOUNIO-ZERO-PROVENANCE	tests/compile-fail/zero_event_*	evidence
SOUNIO-ZERO-PROVENANCE	scripts/ci/zero_event_*	gate
SOUNIO-EPISTEMIC-NUMERIC-VALUE	self-hosted/enir/*	canonical-ir
SOUNIO-EPISTEMIC-NUMERIC-VALUE	stdlib/eisa/*	execution-profile
SOUNIO-EPISTEMIC-NUMERIC-VALUE	stdlib/epistemic/*	source-semantics
SOUNIO-NONASSOCIATIVE-ORDER	stdlib/algebra/associator_field.sio	canonical-artifact
SOUNIO-NONASSOCIATIVE-ORDER	stdlib/epistemic/uncertain_octonion.sio	uncertainty-view
SOUNIO-NONASSOCIATIVE-ORDER	stdlib/epistemic/perturbation_graph.sio	correlation-view
SOUNIO-NONASSOCIATIVE-ORDER	self-hosted/ir/ir.sio	compiler-ir
SOUNIO-NONASSOCIATIVE-ORDER	self-hosted/native/lower_ir.sio	native-lowering
SOUNIO-NONASSOCIATIVE-ORDER	formal/lean4/*	formal-evidence
SOUNIO-EXPLICIT-DISCHARGE	stdlib/epistemic/zero_event.sio	canonical-example
SOUNIO-EXPLICIT-DISCHARGE	self-hosted/check/*	type-boundary
SOUNIO-EXPLICIT-DISCHARGE	tests/compile-fail/zero_event_*	evidence
SOUNIO-PHYSICAL-OBSERVATION	stdlib/physics/*	domain-source
SOUNIO-PHYSICAL-OBSERVATION	stdlib/particle_physics/*	event-pipeline
SOUNIO-PHYSICAL-OBSERVATION	stdlib/quantum/*	measurement-boundary
SOUNIO-PHYSICAL-OBSERVATION	stdlib/metrology/*	instrument-semantics
SOUNIO-PRECISION-PRESERVATION	stdlib/math/qd128.sio	canonical-qd128
SOUNIO-PRECISION-PRESERVATION	stdlib/math/dd64.sio	canonical-dd64
SOUNIO-PRECISION-PRESERVATION	self-hosted/enir/qd.sio	semantic-ir-arithmetic
SOUNIO-PRECISION-PRESERVATION	self-hosted/native/*	native-backend
SOUNIO-PRECISION-PRESERVATION	stdlib/eisa/*	execution-profile
SOUNIO-SECOND-ORDER-COMPILATION	docs/architecture/second-order-compilation.md	canonical-contract
SOUNIO-SECOND-ORDER-COMPILATION	docs/decisions/adr-007-second-order-compilation.md	decision-record
SOUNIO-SECOND-ORDER-COMPILATION	stdlib/eisa/*	first-witness-surface
SOUNIO-SECOND-ORDER-COMPILATION	self-hosted/enir/*	pending-ir-interface
SOUNIO-SECOND-ORDER-COMPILATION	scripts/ci/*counterfactual*	pending-gate
SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	stdlib/eisa/hypercomplex_zd.sio	canonical-reference
SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	stdlib/algebra/cayley_dickson_exact_i64.sio	exact-sign-oracle
SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	tests/stdlib/eisa/test_eisa_h_zd.sio	evidence
SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	scripts/ci/eisa_h_zd_reference_gate.sh	gate
SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	self-hosted/ir/*	blocked-pending-interface
SOUNIO-REBRACKETING-AUTHORITY	docs/internal/concepts/rebracketing-authority.md	concept-contract
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/ir/ir.sio	ontology-identity-transport
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/ir/opt_cleanup.sio	canonical-ir-transaction
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/check/mod.sio	checked-source-metadata-export
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/compiler/module_frontend.sio	default-native-v2-routing
SOUNIO-REBRACKETING-AUTHORITY	self-hosted/compiler/module_native_driver.sio	imported-native-v2-routing
SOUNIO-REBRACKETING-AUTHORITY	tests/compiler/rebracket_authority_*	evidence
SOUNIO-REBRACKETING-AUTHORITY	scripts/ci/exact_bitwise_rebracket_authority_gate.sh	gate
SOUNIO-REBRACKETING-AUTHORITY	scripts/ci/exact_bitwise_rebracket_source_ir_gate.sh	source-ir-gate
SOUNIO-ORDERED-PATH-PROVENANCE	docs/internal/concepts/ordered-path-provenance.md	concept-contract
SOUNIO-ORDERED-PATH-PROVENANCE	self-hosted/ir/ir.sio	ordered-signature-identity
SOUNIO-ORDERED-PATH-PROVENANCE	self-hosted/compiler/module_frontend.sio	post-cleanup-trace
SOUNIO-ORDERED-PATH-PROVENANCE	tests/compiler/ordered_path_provenance_*	positive-evidence
SOUNIO-ORDERED-PATH-PROVENANCE	tests/compile-fail/ordered_path_*	negative-evidence
SOUNIO-ORDERED-PATH-PROVENANCE	scripts/ci/ordered_path_provenance_source_ir_gate.sh	acceptance-gate
